Disease,Study Name,Eligibility Criteria
Cancer,A Pivotal Open-Label Trial of Brentuximab Vedotin for Hodgkin Lymphoma,"Inclusion Criteria:

* Patients with relapsed or refractory Hodgkin lymphoma who have previously received autologous stem cell transplant.
* Histologically confirmed CD30-positive disease; tissue from the most recent post diagnostic biopsy of relapsed/refractory disease must be available for confirmation of CD30 expression via slides or tumor block.
* Fluorodeoxyglucose-avid disease by positron emission tomography and measurable disease of at least 1.5 cm as documented by spiral computed tomography.
* At US sites patients greater than or equal to 12 years of age may be enrolled. At non-US sites patients must be greater than or equal to 18 years of age.

Exclusion Criteria:

* Previous treatment with brentuximab vedotin.
* Previously received an allogeneic transplant.
* Congestive heart failure, Class III or IV, by the New York Heart Association criteria.
* History of another primary malignancy that has not been in remission for at least 3 years.
* Known cerebral/meningeal disease."
Cancer,Tocilizumab in Children With ACP,"Inclusion Criteria

Phase 0 Eligibility:

1. Tumor biopsy/resection and/or cyst aspiration planned for the clinical care of the patient independent of study participation by the treating pediatric neurosurgeon and neuro-oncologist
2. Must meet one of the following criteria:

   1. Presumed craniopharyngioma based on imaging features and best judgement of treating medical team (if newly diagnosed)
   2. Previous histologically confirmed ACP that has progressed or recurred at the time of enrollment

Feasibility Eligibility:

1. Must meet one of the following criteria:

   1. Recurrent or progressive\* ACP treated with surgery alone without radiation
   2. Recurrent or progressive\* ACP treated with surgery and radiation

      \* Progressive disease for eligibility purposes will be defined as follows: Solid disease: any growth deemed progression based on discretion of the investigator regardless of timing from RT Cystic disease: must be at least 6 months from last day of RT. Patients demonstrating isolated cyst growth \>6 months after RT must show a continued increase in the cystic component on two serial MRI scans performed at least 4 weeks apart OR at least partial reaccumulation of the cyst following one or more cyst aspirations.
   3. Newly diagnosed, by histology or imaging ACP with unresectable residual cystic and/or solid disease that is measurable in 2 dimensions
2. Subjects who participated in the Phase 0 portion and meet eligibility, may enroll in the Feasibility Phase of the study once open.

Overall Study Inclusion Criteria:

1. Age: ≥ 2 years and \< 21 years
2. Subjects may have received prior tocilizumab or other IL6 or IL6R inhibitor
3. Organ Function Requirements

   1. Adequate bone marrow function defined as:

      * Platelet count ≥100,000/μl (transfusion independent)
      * Absolute neutrophil count (ANC) ≥1500/μl
   2. Adequate renal function defined as:

      * Creatinine clearance or radioisotope GFR ≥70 ml/min/1.73 m2 or
      * A serum creatinine based on age/gender as follows: (Age, Male, Female) 3 to \< 6 years, 0.8, 0.8; 6 to \< 10 years, 1, 1; 10 to \< 13 years, 1.2, 1.2; 13 to \< 16 years, 1.5, 1.4; 16 years to \< 18 years, 1.7, 1.4
   3. Adequate liver function defined as:

      * SGOT (AST) and SGPT (ALT) \<1.5x ULN for age
4. Subjects must meet one of the following performance scores:

   1. ECOG performance status scores of 0, 1, or 2;
   2. Karnofsky score of ≥60 for patients \> 16 years of age; or
   3. Lansky score of ≥60 for patients ≤16 years of age
5. Subjects of childbearing or child fathering potential must be willing to use a medically acceptable form of birth control, which includes abstinence, while being treated on this study.
6. Informed consent and assent obtained as appropriate.

Exclusion Criteria

1. Pregnant or breastfeeding
2. Uncontrolled intercurrent illness including, but not limited to:

   1. ongoing or active infection (including active tuberculosis)
   2. symptomatic congestive heart failure
   3. unstable angina pectoris
   4. cardiac arrhythmia
   5. psychiatric illness/social situations that would limit compliance with study requirements are not eligible.
3. Known hypersensitivity or history of anaphylaxis to tocilizumab
4. Received any live vaccinations within 3 months prior to start of therapy
5. Evidence of metastatic disease or other cancer
6. Inability to return for follow up visits or obtain required follow-up studies to assess toxicity of therapy"
Cancer,Comparing Autologous Peripheral Blood Stem Cell to Bone Marrow Transplantation for Recurrent Non-Hodgkin's Lymphoma,"Inclusion Criteria:

* Age 16-65
* Intermediate grade non-Hodgkin's lymphoma (International Working Formulation - Follicular large cell, Diffuse Small Cleaved, Diffuse Mixed, Diffuse Large Cell, and Immunoblastic) with histologic negative bone marrow who would otherwise meet all eligibility criteria for high-dose therapy and ABMT. These criteria are in each specific high-dose therapy protocol (i.e. Karnofsky performance status \> 70, adequate organ function, HIV and Hepatitis B negative, etc.). These patients would be enrolled in a high-dose protocol using carmustine, etoposide, cytarabine, and cytoxan (BEAC) with autologous hematopoietic rescue.

Exclusion Criteria:

* Patients with bone marrow histologically involved with tumor or with a bone marrow abnormality making bone marrow harvest not possible.
* Patients whose tumor is rapidly growing which may preclude the extra time involved with the PSC collection process.
* Patients who do not otherwise meet high-dose therapy and transplantation entry criteria."
Cancer,Thalidomide in Treating Patients With Relapsed Chronic Lymphocytic Leukemia,"Inclusion Criteria:

* Diagnosis of chronic lymphocytic leukemia (CLL) evidenced by monoclonal population of mature CD5+, CD19+, CD23+, and B cells
* Relapsed after prior treatment for CLL
* Active disease with 1 or more of the following characteristics:

  * At least 10% weight loss within the past 6 months
  * Fever greater than 100.5 degrees F for at least 2 weeks without evidence of infection
  * Night sweats without evidence of infection
  * Evidence of progressive marrow failure with anemia (hemoglobin less than 11 g/dL) and/or thrombocytopenia (platelet count less than 100,000/mm\^3) (i.e., any stage III or IV disease)
  * Autoimmune anemia and/or thrombocytopenia poorly responsive to corticosteroid therapy
  * Massive or progressive splenomegaly (i.e., greater than 6 cm below the left costal margin or more than 50% increase over 2 months)
  * Progressive lymphadenopathy (i.e., more than 50% increase over 2 months)
  * Progressive lymphocytosis (not due to corticosteroids) with an increase of more than 50% over a 2-month period or an anticipated doubling time of less than 6 months
  * Marked hypogammaglobulinemia or the development of a monoclonal protein in the absence of any of the above criteria for active disease are not considered evidence of active disease
* Measurable disease

  * Absolute lymphocyte count greater than 5,000/mm\^3
* No bulky lymph node disease greater than 10 cm in at least 1 dimension except splenomegaly
* Performance status - ECOG 0-2
* Absolute neutrophil count at least 500/mm\^3
* Platelet count at least 20,000/mm\^3 (in absence of sargramostim \[GM-CSF\])
* Hemoglobin at least 8 g/dL
* Bilirubin no greater than 2.5 times upper limit of normal (ULN)
* AST no greater than 2.5 times ULN
* Creatinine no greater than 1.5 mg/dL
* Creatinine clearance at least 60 mL/min
* No other active malignancy
* No peripheral neuropathy (sensory) grade 2 or greater
* No active infection
* Not pregnant or nursing
* Negative pregnancy test
* Fertile patients must use 1 highly effective method of contraception AND 1 additional effective method of contraception for at least 4 weeks before, during, and for 4 weeks after study completion
* No prior allogeneic bone marrow transplantation
* At least 10 days since prior filgrastim (G-CSF) or GM-CSF
* No more than 3 prior chemotherapy regimens
* At least 30 days since prior chemotherapy
* No concurrent corticosteroids except for adrenal insufficiency"
Cancer,Bevacizumab or Pemetrexed Disodium Alone or In Combination After Induction Therapy in Treating Patients With Advanced Non-Squamous Non-Small Cell Lung Cancer,"Inclusion Criteria (Step 1 Induction Therapy):

* Cytologically or histologically confirmed non-small cell lung cancer (NSCLC)
* Predominant non-squamous histology (NSCLC not otherwise specified allowed). Mixed tumors are categorized by the predominant cell type.
* Stage IV disease including M1a or M1b stages or recurrent disease
* Stage IIIB (T4NX) disease with ipsilateral lung lobe allowed provided patients are not candidates for combined chemotherapy or radiotherapy
* At least 12 months since prior adjuvant chemotherapy
* At least 2 weeks since prior radiotherapy
* Prior carboplatin allowed provided it was given as part of adjuvant chemotherapy
* Patients with brain metastasis must have received local therapy to the brain and have no evidence of progression in the brain for at least 2 weeks from the time of completion of local therapy, prior to registration
* ECOG (Eastern Cooperative Oncology Group) performance status 0-1
* Leukocytes ≥ 3,000/mm\^3
* Absolute neutrophil count ≥ 1,500/mm\^3
* Platelet count ≥ 100,000/mm\^3
* Total bilirubin ≤ institutional upper limit of normal (ULN)
* AST and ALT ≤ 3 times ULN
* Creatinine ≤ institutional ULN OR creatinine clearance ≥ 60 mL/min
* Urine protein:urine dipstick ≤ 0-1+ (if \> 1+, urine protein creatinine ratio must be \< 1)
* Measurable or non-measurable disease as defined by RECIST (Response Evaluation Criteria in Solid Tumours) criteria
* Patients with hypertension must be adequately controlled (BP \< 150/100 mm Hg) with appropriate anti-hypertensive therapy or diet
* Concurrent therapeutic anti-coagulation allowed
* Fertile patients must agree to abstain from sexual intercourse or to use adequate contraceptive methods during and for at least 6 months after completion of study therapy

Exclusion Criteria (Step 1 Induction Therapy):

* Prior malignancy within the past 3 years except superficial melanoma, basal cell carcinoma, or carcinoma in situ
* Prior systemic chemotherapy for advanced stage lung cancer
* Prior use of paclitaxel, pemetrexed disodium, or bevacizumab
* Major hemoptysis within the past 4 weeks
* Uncontrolled intercurrent illness including, but not limited to, active infection, symptomatic congestive heart failure, unstable angina pectoris, serious cardiac arrhythmia, psychiatric illness/social situations that would limit compliance with study requirements
* History of arterial thrombotic events or major bleeding within the past 12 months
* Major surgery such as thoracotomy, laparotomy, craniotomy, or significant traumatic injury within 6 weeks prior to registration. Biopsy procedures and chest tube insertion are not considered major surgery for the purpose of this protocol.
* Core biopsy within 7 days of registration
* Significant vascular disease (e.g., aortic aneurysm requiring surgical repair or recent peripheral arterial thrombosis) within the past 6 months
* Clinically significant cardiovascular disease
* Abdominal fistula, gastrointestinal perforation, or intra-abdominal abscess within the past 6 months
* History of serious non-healing wounds, ulcers, or bone fractures
* Cavitary lesions in the lungs
* Pregnant or nursing
* Concurrent anti-retroviral therapy in patients with HIV infection

Inclusion Criteria (Step 2 Maintenance Therapy):

* Patient must have an overall stable or better response after 4 courses of induction therapy
* ECOG (Eastern Cooperative Oncology Group) performance status 0-1
* Patients must be registered to Step 2 within 6 weeks of the last day of chemotherapy administration on Step 1
* Acceptable bone marrow, renal and hepatic function within 2 weeks of registration"
Cancer,Irinotecan And Bevacizumab Combined With Re-radiotherapy in Recurrent Glioblastoma,"Inclusion Criteria:

1. The initial diagnosis confirmed by histopathology is World Health Organization WHO grade 4 glioma;
2. Surgery, radiotherapy, chemotherapy, and adjuvant chemotherapy (Stupp plan) are performed after the initial diagnosis, and recurrence according to the evaluation of neurotumor response (RANO) criteria and/or confirmed by histopathology;
3. The expected survival period is ≥3 months;
4. Age between 18 and 70 years old;
5. KPS score (KPS) ≥ 70, able to take care of most of life, but occasionally need help from others;
6. There are measurable lesions on the T1 enhancement sequence of the head MRI;
7. Hematopoietic function: hemoglobin ≥90g/L, platelets ≥90×109/L, white blood cells ≥4×109/L (previous chronic anemia 80-90 g/L or previous low white blood cell level 3-4×109/L Or thrombocytopenia 80-90×109/L, but KPS 70-100 can be considered for admission) (The range of normal values can be fine-tuned due to the different standards of tertiary first-class hospitals);
8. Liver function: ALT and AST\<1.5 times of high normal (ULN), bilirubin\<1.5×ULN;
9. Sign the informed consent form;
10. Agree to participate in follow-up actions.

Exclusion Criteria:

1. Other invasive malignant tumors;
2. Re-irradiation after receiving recurrence in the past;
3. Recurrence more than 3 times or evidence that there is a subdural recurrence disease or a tumor with a maximum diameter of more than 6 cm;
4. Treat with vascular endothelial growth factor (VEGF) or VEGFR inhibitor or irinotecan in advance;
5. Pregnant or nursing mothers;
6. Participate in other tests after diagnosis of recurrence;
7. According to CTCAE5.0 standard classification of patients with bleeding above grade 3;
8. Symptomatic peripheral vascular disease;
9. Known allergy to bevacizumab or irinotecan;
10. Patients who are treated with anticoagulants or vitamin K antagonists such as warfarin, heparin or their analogs; under the premise that the prothrombin time international normalized ratio (INR) is ≤1.5, the use of small doses of Huafa for preventive purposes is allowed Farin (1 mg orally, once a day) or low-dose aspirin (do not exceed 100 mg per day);
11. Abnormal blood coagulation function, bleeding tendency (such as active peptic ulcer) or receiving thrombolysis or anticoagulation therapy;
12. Arterial/venous thrombotic events that occurred within 6 months before the first medication, such as cerebrovascular accidents (including temporary ischemic attacks), deep vein thrombosis and pulmonary embolism;
13. Urine routine test showed urine protein ≥++ and confirmed 24-hour urine protein quantification\>1.0 g;
14. Long-term unhealed wounds or fractures;
15. Suffering from severe cardiovascular disease: myocardial ischemia or myocardial infarction above grade II, poor arrhythmia control (including men with QTc interval ≥450 ms, women ≥470 ms); according to NYHA standards, III to Grade IV insufficiency or color Doppler ultrasonography of the heart shows that the left ventricular ejection fraction (LVEF) is less than 50%;
16. Patients with hypertension who cannot be well controlled by a single antihypertensive drug treatment (systolic blood pressure\> 140 mmHg, diastolic blood pressure\> 90 mmHg), suffering from myocardial ischemia or myocardial infarction, arrhythmia (including QT room Period ≥440 ms) and degree I cardiac insufficiency;
17. History of organ transplantation;
18. According to the judgment of the researcher, a serious disease that endangers the safety of the patient or affects the completion of the study.
19. Poor overall health, even KPS\<60;
20. Unable to understand the purpose of treatment or unwilling to sign the treatment consent form;
21. No capacity for civil conduct or limited capacity for civil conduct."
Cancer,Phase II Study of TKI258 in Advanced Urothelial Carcinoma,"Inclusion Criteria:

* Patients with transitional cell cancer of the bladder, urethra, ureter, or renal pelvis
* Patients who have archival tumor tissue available for FGFR3 mutational status screening
* Patients with progressive disease
* Patients with measurable disease by RECIST
* Patients previously treated with at least 1 but not more than 3 systemic cytotoxic regimens with at least one of these regimens including at least one of the following: cisplatin, carboplatin, gemcitabine or taxane administered in the perioperative or advanced setting
* Age ≥ 18 years
* WHO Performance Status ≤ 2
* Patients willing and able to take oral medication, follow scheduled visits, treatment plan and laboratory tests
* Patients with signed and witnessed informed consent form
* Patients with adequate organ function

Exclusion Criteria:

* Patients with brain cancer
* Patients with other cancers except for certain skin, cervical \& prostate cancers
* Patients who have not recovered from previous cancer treatment
* Patients who have severe and/or uncontrolled medical conditions which could affect participation in the study

Other protocol-defined inclusion/exclusion criteria may apply"
Cancer,"A Study of Biweekly Gemcitabine, Paclitaxel, and Avastin in Patients With Metastatic Breast Cancer","Inclusion Criteria:

* Patient must be 18 years of age or older with histologically confirmed breast cancer and clinical evidence of metastatic disease.
* Patients must have measurable or non-measurable disease. X-rays, scans or physical examinations used to assess measurable disease must be performed within 28 days prior to registration. X-rays, scans or physical examinations to assess non-measurable disease must be completed within 42 days prior to registration. Patients with effusions or ascites as the only sites of disease are ineligible.
* Patients must meet the following requirements regarding prior and concurrent chemotherapy:Patients must not have received prior chemotherapy regimens for metastatic breast cancer. Patients may have received adjuvant/neoadjuvant chemotherapy, for a total of 3 prior regimens.
* Prior therapy with paclitaxel or docetaxel is allowed in the adjuvant or neoadjuvant setting, if given \> 6 months prior to registration.
* Patients must have \>14 days delay between the conclusion of any radiation and the start of gemcitabine, provided the acute effects of radiation treatment have resolved.
* Patients may have received any number of exogenous hormonal therapies and/or trastuzumab in the adjuvant, neoadjuvant or metastatic setting. Last dose of prior hormonal therapy at least 14 days prior to registration.
* Patients may receive concomitant bisphosphonate therapy for bone metastasis.
* Patients must have recovered from any prior surgery. Two weeks must have elapsed from the time of any minor surgery and 4 weeks of any major surgery.
* Patients must have adequate bone marrow reserve as evidenced by the following: ANC \> 1500/mcL, platelets \> 100, 000/mcL, and hemoglobin \> 9.0 gm/dL. These results must be obtained within 28 days prior to registration.
* Patients must have serum creatinine \< 1.5 mg/dL, obtained within 28 days prior to registration.
* Urine Protein: creatinine ratio ≥ 1.0 at screening.
* Patients must have adequate liver function.
* Patients must have a Zubrod performance status of 0-1.

Exclusion Criteria:

* Patients must not have tumors that carry HER-2 gene amplifications as determined by (i) fluorescence in situ hybridization (FISH) or (ii) overexpression of HER-2 protein 3+ level assessed by immunohistochemistry; or may have tumors that carry HER=2 gene amplification and have had disease progression while on trastuzumab. Patients who have previously been treated with trastuzumab must be off treatment at least 28 days prior to registration.
* Patients must not have CNS metastasis, leptomeningeal disease or lymphatic pulmonary metastases.
* Patients must not have had prior therapy with gemcitabine or bevacizumab.
* Patient must not have major surgical procedure, open biopsy, or significant traumatic injury within 28 days prior to start of treatment, anticipation of need for major surgical procedure during the course of the study.
* Patients must not have received radiation to \> 50% of the marrow-bearing bone.
* Patients must not have a history of significant symptomatic cardiac disease or left ventricular ejection fraction (LVEF) \< 50% of the institutional lower limit of normal (ILLN). An isotope cardiac scan (MUGA) and ECG must be obtained within 28 days.
* Patients with uncontrolled hypertension are NOT eligible (BP\>150/100).
* Patients must not have pr-existing clinically significant (Grade 2 or greater per CTCAE Version 3.0 motor or sensory neuropathy except for abnormalities due to cancer.
* Patients known to be HIV positive.
* Patients must not be nursing or pregnant. Men and women of reproductive potential must agree to use an effective contraceptive method.
* No other prior malignancy is allowed except for the following: adequately treated basal cell or squamous cell skin cancer, in situ cervical cancer, adequately treated Stage I or Stage II cancer from which the patient has been disease free for 5 years.
* Patients must not have had a Stroke or Myocardial Infarction in the past 6 months. Patients with unstable agina, significant peripheral vascular disease, history of abdominal fistula, gastrointestinal perforation or intra-abdominal abscess within the last 6 months should be excluded."
Cancer,Collagenase is a Common Treatment of MCP and PIP Joint Contractures in Dupuytrens Disease,"Inclusion Criteria:

* dupuytrens disease
* xiapex treatment

Exclusion Criteria:

- demens/other psychiatric diseases"
Cancer,Diagnosis of Lynch Syndrome Based on Next-generation Sequencing in Colorectal Cancer,"For probands, the inclusion criteria:

All of the following four points should be satisfied:

* Histological diagnosis of colorectal cancer;
* With the loss of staining by immunohistochemistry of any of the mismatch repair (MMR) proteins (MLH1, MSH2, MSH6, PMS2);
* With sufficient tumor tissue and normal tissue to test;
* Agree to provide basic information, clinical information and family history of cancer information.

For probands, the exclusion criteria:

* With at least one blood relative with known pathogenic germline mutation(s).

For blood relatives verifying germline mutation, the inclusion criteria:

All of the following three points should be satisfied:

* First- to second-degree blood relatives of probands with germline mutation(s).
* With Sufficient tumor tissue and normal tissue to test.
* Agree to provide basic information, clinical information and family history of cancer information.

For blood relatives verifying germline mutation, the exclusion criteria:

* Blood relatives who refuse to test."
Cancer,Pharmacokinetics and Safety Study of Azacitidine in Cancer Patients With and Without Impaired Renal Function,"Inclusion Criteria:

* Diagnosis of one of the following:

  * MDS according to the French-American-British (FAB) classification system: refractory anemia (RA), refractory anemia with ringed sideroblasts (RARS), refractory anemia with excess blasts (RAEB), refractory anemia with excess blasts in transformation (RAEB-T), or chronic myelomonocytic leukemia (CMML); or
  * Acute myelogenous leukemia (AML) in remission,
  * Malignant solid tumor,
  * Multiple myeloma (MM),
  * Non-Hodgkin lymphoma (NHL), or
  * Hodgkin lymphoma (HD)
* Patients with a history of treated brain metastases should be clinically stable for greater than 4 weeks prior to signing the informed consent form and off glucocorticoid therapy for central nervous system (CNS) edema for at least 4 weeks
* Be capable of giving informed consent
* Have an Eastern Cooperative Oncology Group (ECOG) performance status of 0-2
* Have a life expectancy ≥ 3 months
* Have stable renal function for at least 2 months
* Have average calculated creatinine clearance of:

  * \>80 mL/min/1.73m\^2 for Cohorts 1, 2, 3, and 4
  * \<30 mL/min/1.73m\^2 for Cohort 5 - Severe renal impairment,
  * 50-80 mL/min/1.73m\^2 for Cohort 6 - Mild renal impairment,
  * 30 to \<50 mL/min/1.73m\^2 for Cohort 7 - Moderate renal impairment
* Have organ and marrow function at the screening and pre-dose visits as defined below:

  * Hemoglobin ≥8 g/dL,
  * Absolute neutrophil count ≥0.75 x 10\^3/µL,
  * Platelets ≥30 x 10\^3/µL,
  * Total bilirubin ≤1.5 times the upper limit of normal (ULN),
  * Aspartate aminotransferase (AST) ≤2 times the ULN, and
  * Alanine transaminase (ALT) ≤2 times the ULN;
* Have a 12-lead electrocardiogram (ECG) that is not clinically significant, as determined by the Investigator, at screening
* Have serum bicarbonate:

  * 20 mEq/L for patients with normal renal function (cohorts 1, 2, 3 and 4),
  * 16 mEq/L for patients with impaired renal function (cohorts 5, 6 and 7)
* Women of childbearing potential may participate, providing are not pregnant and agree to use at least 2 effective contraceptive methods throughout the study
* Males with a female partner of childbearing potential must agree to use at least 2 effective contraceptive methods throughout the study and to avoid fathering a child for 6 months following the date of the last dose of study medication
* Be a nonsmoker or must not have smoked for at least 30 days before the screening visit and agree to abstain from smoking during study participation

Exclusion Criteria:

* Women who are pregnant or nursing;
* Had chemotherapy or radiotherapy within 4 weeks (6 weeks for nitrosoureas or mitomycin C) prior to signing informed consent
* Have been treated with an investigational agent within 4 weeks prior to signing the informed consent form
* Have ongoing clinically significant adverse event(s) due to chemotherapy, radiotherapy or investigational agents administered more than 4 weeks prior to signing the informed consent as determined by the Investigator
* Have known or suspected hypersensitivity to azacitidine or mannitol
* Have an uncontrolled intercurrent illness including, but not limited to, ongoing or active infection, symptomatic congestive heart failure, unstable angina pectoris, cardiac arrhythmia
* Have low blood pressure (supine blood pressure \<90/60 mmHg)
* Have human immunodeficiency virus (HIV), or active hepatitis virus B or C
* Have advanced malignant hepatic tumors
* Have end stage renal disease requiring dialysis"
Cancer,Desipramine Hydrochloride and Filgrastim For Stem Cell Mobilization in Patients With Multiple Myeloma Undergoing Stem Cell Transplant,"Inclusion Criteria:

* Patients eligible for autologous stem cell transplant for multiple myeloma; planned use of filgrastim (GCSF) for stem cell mobilization
* Ability to give informed consent
* Glomerular filtration rate (GFR) \> 30 ml/minute
* Liver function tests \< 2.5 x upper limit of normal (ULN)
* Eastern Cooperative Oncology Group (ECOG) performance status (PS) 2 or less
* Based on prior therapy patients will be classified into two categories:

  * Initial mobilizers with no exposure to alkylators
  * Remobilizers or with prior exposure to alkylators or with greater than 5 cycles of lenalidomide therapy prior to mobilization

Exclusion Criteria:

* Use of a monoamine oxidase inhibitor (MAO-I) during or within 2 weeks of desipramine therapy
* Concomitant therapy with any drugs shown to have major interactions with desipramine
* Concurrent use of drugs that are contraindicated with desipramine
* Myocardial infarction in preceding 4 weeks; history of uncontrolled cardiac arrhythmias or family history of sudden cardiac death; baseline corrected QT (QTc) \> 460 msec
* Active alcohol abuse
* Bipolar disorder
* Untreated active major depression
* History of seizures in the past 3 years
* Pregnancy and lactation; refusal to use adequate contraception
* Uncontrolled thyroid disease
* GCSF or pegfilgrastim use within 14 days prior to enrollment
* Bortezomib, Revlimid or thalidomide use within 7 days of enrollment
* Patients with sickle cell disease"
Cancer,Effectiveness and Safety Study on Different Timing of Preventive Ileostomy Closure After Surgery for Rectal Cancer,"Inclusion Criteria:

* sign the informed consent
* postoperative pathology is rectal adenocarcinoma
* primary middle and low rectal cancer patients (tumor distance from the anal margin is less than 10 cm)
* underwent total mesorectal excision for rectal cancer with preventive loop ileostomy

Exclusion Criteria:

* postoperative pathology is not rectal adenocarcinoma (rectal neuroendocrine tumor, lymphoma, etc.)
* postoperative pathologic staging of rectal cancer is I phase, II phase
* underwent total mesorectal excision for rectal cancer without preventive loop ileostomy
* emergency operation for rectal cancer
* disease progression (local recurrence or distant metastasis, etc.)
* anastomotic stenosis
* serious system disease, including heart dysfunction, respiratory insufficiency, liver and kidney dysfunction, serious blood diseases
* participate in other clinical trial
* pregnancy or perinatal woman
* combined with other malignant tumor
* with a history of neurological and psychiatric disorders
* patients with abnormal bone marrow suppression after chemotherapy"
Cancer,Value of Chemokine Receptor CXCR4 Imaging for Diagnosis and Prognostic Evaluation in Lymphoproliferative Diseases,"Inclusion Criteria:

* suspected or confirmed untreated Lymphoproliferative diseases patients
* 18F-FDG PET/CT within two weeks
* signed written consent.

Exclusion Criteria:

* pregnancy
* breastfeeding
* known allergy against Pentixafor"
Cancer,"A Study of Real-life Current Standards of Care in Patients With Relapsed and/or Refractory Multiple Myeloma Who Received at Least 3 Prior Lines of Therapy Including Proteasome Inhibitor (PI), Immunomodulatory Drug (IMID), and Cluster of Differentiation 38 (CD38) Monoclonal Antibody Treatment","Inclusion Criteria:

* Have a documented diagnosis of multiple myeloma according to International myeloma working group (IMWG) diagnostic criteria
* Received at least 3 prior lines of therapy or are double refractory to a proteasome inhibitor (PI) and an immunomodulatory agent (IMID) (induction with or without hematopoietic stem cell transplant and with or without maintenance therapy is considered a single regimen). Patients will have undergone at least 1 complete cycle of treatment for each regimen (unless progressive disease was the best response)
* Must have documented evidence of progressive disease based on study physician's determination of response by the IMWG response criteria on or after the last regimen. Patients with documented evidence of progressive disease within the previous 6 months and who are refractory or nonresponsive to their most recent line of treatment afterwards are also eligible
* Have an Eastern Cooperative Oncology Group (ECOG) Performance Status grade of 0 or 1
* Must not be pregnant or must not plan to become pregnant within the study period"
Cancer,Allogeneic CD30.CAR-EBVSTs in Patients with Relapsed or Refractory CD30-Positive Lymphomas,"Inclusion Criteria:

1. Diagnosis and clinical course falling into one of the following categories:

   1. Hodgkin lymphoma
   2. Aggressive non-Hodgkin lymphoma
   3. ALK-negative anaplastic T cell lymphoma or other peripheral T-cell lymphoma
   4. ALK-positive anaplastic T cell lymphoma
2. CD30-positive tumor as assayed in a CLIA certified Pathology Laboratory.
3. Age 12 to 75.
4. Bilirubin 2 times (or 3 times if the patient has Gilbert syndrome) or less than the upper limit of normal.
5. AST 3 times or less than the upper limit of normal.
6. Estimated GFR \> 70 mL/min.
7. Pulse oximetry of \> 90% on room air
8. EKG shows no significant arrhythmias
9. Karnofsky or Lansky score of \> 60%.
10. Available allogeneic T cells with ≥15% expression of CD30CAR determined by flow-cytometry.
11. Recovered from all acute non-hematologic toxic effects of all prior chemotherapy.
12. Sexually active patients must be willing to utilize one of the more effective birth control methods during the study and for 6 months after the study is concluded. The male partner should use a condom.
13. Informed consent explained to, understood by and signed by patient or guardian. Patient or guardian given a copy of the informed consent form.

Exclusion Criteria:

1. Received an investigational cell therapy or vaccine within the past 6 weeks.
2. Received an investigational small molecule drug within the past 2 weeks.
3. Received CD30 antibody-based therapy within the previous 4 weeks.
4. Received gemcitabine-containing chemotherapy within the previous 12 weeks
5. History of hypersensitivity reactions to murine protein-containing products.
6. Pregnant or lactating.
7. Tumor in a location where enlargement could cause airway obstruction (determined at the investigators' discretion).
8. Current use of systemic corticosteroids at a dose equivalent to higher than 10 mg/day of prednisone.
9. Active significant, uncontrolled bacterial, viral or fungal infection.
10. Symptomatic cardiac disease (NYHA Class III or IV disease)."
Cancer,An Investigational Study to Assess the Effect of a Light Meal and a High-Fat Meal on the Absorption of BMS-986205 in Healthy Participants,"Inclusion Criteria:

* Signed written consent form.
* Healthy male and female participants (not of childbearing potential), determined by no clinically significant deviation from normal in medical history, physical examination, ECGs (electrocardiograms), and clinical laboratory determinations.
* Women participants must have documented proof they are not of childbearing potential.
* Males sexually active with women of childbearing potential must agree to follow instructions for method(s) of contraception for duration of treatment with BMS-986205, and for a total of 110 days after the last dose of BMS-986205; and must be willing to refrain from sperm donation during this time. Azoospermic males are exempt from contraceptive requirements.
* Normal renal function at screening (Glomerula Filtration Rate ≥ 80 mL/min/1.73 m2.
* Body Mass Index (BMI) of 18.0 kg/m2 to 32.0 kg/m2 inclusive.

Exclusion Criteria:

* Women who are of childbearing potential or breastfeeding.
* Any significant acute or chronic illness.
* Active tuberculosis (TB) requiring treatment, documented latent TB within the previous 3 years, or evidence of a past TB infection without documented adequate therapy. All participants will be required to have a QuantiFERON-TB Gold test performed at screening.
* History of Glucose-6-Phosphate Dehydrogenase deficiency (G6PD) or any other congenital hemolytic anemias.
* History of cardiac arrhythmias and/or autonomic instability.
* History of pulmonary, renal or liver disease.
* History of Gilbert's Syndrome.
* Recent (within 6 months of study drug administration) history of smoking or current smokers, including use of electronic cigarettes or nicotine-containing products such as tobacco for chewing, nicotine patches, nicotine lozenges or nicotine gum.
* Participants with active, known or suspected autoimmune disease. Participants with vitiligo or psoriasis not requiring systemic treatment, or conditions not expected to recur in the absence of an external trigger may enroll.
* Major surgery within 4 weeks of study drug administration.

Other protocol defined inclusion/exclusion criteria could apply."
Cancer,MBI and Breast Tomosynthesis Screening Accuracies in Patients With Dense Breast Tissue,"Inclusion Criteria:

* Women over 25 years of age with normal or increased risk of breast cancer.
* Women with type 3 or 4 breast density as determined by a breast imaging radiologist on a current unilateral (women with prior mastectomy) or bilateral mammography (within prior 6 weeks).
* No contraindications to breast MBI or breast tomosynthesis.

Exclusion Criteria:

* Women under the age of 25.
* Women who are or may be pregnant.
* Women who are currently lactating or have discontinued breast feeding \< 2 months prior to the study.
* Male patients are excluded as subjects.
* Those unable or unwilling to provide informed consent."
